Removed Member From Class: ClassName=U_PassiveFilter1 Member=C2
Removed Member From Class: ClassName=U_PassiveFilter5 Member=C9
Removed Member From Class: ClassName=U_PassiveFilter6 Member=C9
Removed Member From Class: ClassName=U_PassiveFilter8 Member=C9
Removed Member From Class: ClassName=VoltageReferenceGen Member=C9
Removed Member From Class: ClassName=U_PassiveFilter5 Member=C10
Removed Member From Class: ClassName=5V_LDO_Analog Member=C17
Removed Member From Class: ClassName=U_PassiveFilter6 Member=C18
Removed Member From Class: ClassName=RVPOVP Member=C20
Removed Member From Class: ClassName=VoltageReferenceGen Member=C25
Removed Member From Class: ClassName=MCUPedalbox Member=C29
Removed Member From Class: ClassName=U_PassiveFilter1 Member=C29
Removed Member From Class: ClassName=5V_LDO_Analog Member=C32
Removed Member From Class: ClassName=CAN_5V Member=C34
Removed Member From Class: ClassName=U_PassiveFilter4 Member=C34
Removed Member From Class: ClassName=Brake Pedal Check Member=R4
Removed Member From Class: ClassName=MCUPedalbox Member=R4
Removed Member From Class: ClassName=U_PassiveFilter1 Member=R4
Removed Member From Class: ClassName=Accel_DivergentSignalOffset Member=R7
Removed Member From Class: ClassName=Pedalbox Member=R7
Removed Member From Class: ClassName=U_PassiveFilter6 Member=R7
Removed Member From Class: ClassName=U_PassiveFilter7 Member=R7
Removed Member From Class: ClassName=U_PassiveFilter8 Member=R7
Removed Member From Class: ClassName=5V_LDO_Analog Member=R8
Removed Member From Class: ClassName=U_PassiveFilter3 Member=R15
Removed Member From Class: ClassName=U_PassiveFilter4 Member=R15
Removed Member From Class: ClassName=5V_LDO_Digital Member=R20
Removed Member From Class: ClassName=Pedalbox Member=R20
Removed Member From Class: ClassName=U_PassiveFilter8 Member=R20
Removed Member From Class: ClassName=VoltageReferenceGen Member=R20
Removed Member From Class: ClassName=Accel_DivergentSignalOffset Member=R22
Removed Member From Class: ClassName=CAN_5V Member=R29
Removed Member From Class: ClassName=MCUPedalbox Member=R29
Removed Member From Class: ClassName=Accel_DivergentSignalOffset Member=R39
Removed Member From Class: ClassName=Brake_DivergentSignalOffset Member=R40
Removed Member From Class: ClassName=VoltageReferenceGen Member=R42
Removed Member From Class: ClassName=BSPD Member=R43
Removed Member From Class: ClassName=VoltageReferenceGen Member=R54
Removed Member From Class: ClassName=BSPD Member=R62
Removed Member From Class: ClassName=U_PassiveFilter3 Member=R62
Removed Member From Class: ClassName=U_PassiveFilter4 Member=R62
Removed Member From Class: ClassName=U_PassiveFilter5 Member=R62
Removed Member From Class: ClassName=U_PassiveFilter6 Member=R62
Removed Member From Class: ClassName=VoltageReferenceGen Member=R62
Removed Member From Class: ClassName=Accel_DivergentSignalOffset Member=R65
Removed Member From Class: ClassName=BSPD Member=R65
Removed Member From Class: ClassName=5V_12V_Logic Member=R69
Removed Member From Class: ClassName=5V_LDO_Analog Member=TP1
Removed Member From Class: ClassName=PlausibilityTrigger Member=U3
Removed Member From Class: ClassName=BSPD Member=U6
Removed Member From Class: ClassName=5V_LDO_Analog Member=U11
Removed Member From Class: ClassName=Brake Pedal Check Member=U11
Removed Member From Class: ClassName=Current/Throttle Check Member=U12
Removed Member From Class: ClassName=Current/Throttle Check Member=U18
Removed Member From Class: ClassName=Brake Pedal Check Member=U21
Removed Member From Class: ClassName=BSPD Member=U21
Removed Member From Class: ClassName=CAN_5V Member=U21
Removed Member From Class: ClassName=PlausibilityTrigger Member=U21
Removed Member From Class: ClassName=MCUPedalbox Member=U22
Removed Member From Class: ClassName=PlausibilityTrigger Member=U22
Change Component Designator: OldDesignator=C1 NewDesignator=C5
Change Component Designator: OldDesignator=C2 NewDesignator=C6
Change Component Designator: OldDesignator=C3 NewDesignator=C10
Change Component Designator: OldDesignator=C5 NewDesignator=C13_U_PassiveFilter5
Change Component Designator: OldDesignator=C6 NewDesignator=C12_U_PassiveFilter5
Change Component Designator: OldDesignator=C7 NewDesignator=C11
Change Component Designator: OldDesignator=C8 NewDesignator=C13_U_PassiveFilter1
Change Component Designator: OldDesignator=C9 NewDesignator=C13_U_PassiveFilter3
Change Component Designator: OldDesignator=C10 NewDesignator=C12_U_PassiveFilter3
Change Component Designator: OldDesignator=C11 NewDesignator=C12_U_PassiveFilter1
Change Component Designator: OldDesignator=C12 NewDesignator=C13_U_PassiveFilter6
Change Component Designator: OldDesignator=C13 NewDesignator=C13_U_PassiveFilter2
Change Component Designator: OldDesignator=C14 NewDesignator=C12_U_PassiveFilter6
Change Component Designator: OldDesignator=C15 NewDesignator=C12_U_PassiveFilter2
Change Component Designator: OldDesignator=C16 NewDesignator=C12_U_PassiveFilter8
Change Component Designator: OldDesignator=C17 NewDesignator=C13_U_PassiveFilter8
Change Component Designator: OldDesignator=C18 NewDesignator=C13_U_PassiveFilter4
Change Component Designator: OldDesignator=C19 NewDesignator=C13_U_PassiveFilter7
Change Component Designator: OldDesignator=C20 NewDesignator=C12_U_PassiveFilter7
Change Component Designator: OldDesignator=C21 NewDesignator=C12_U_PassiveFilter4
Change Component Designator: OldDesignator=C22 NewDesignator=C18
Change Component Designator: OldDesignator=C23 NewDesignator=C2_5V_LDO_Digital
Change Component Designator: OldDesignator=C24 NewDesignator=C2_5V_LDO_Analog
Change Component Designator: OldDesignator=C25 NewDesignator=C19
Change Component Designator: OldDesignator=C26 NewDesignator=C9
Change Component Designator: OldDesignator=C27 NewDesignator=C1_5V_LDO_Digital
Change Component Designator: OldDesignator=C28 NewDesignator=C1_5V_LDO_Analog
Change Component Designator: OldDesignator=C29 NewDesignator=C3
Change Component Designator: OldDesignator=C30 NewDesignator=C14
Change Component Designator: OldDesignator=C31 NewDesignator=C15
Change Component Designator: OldDesignator=C32 NewDesignator=C16
Change Component Designator: OldDesignator=C33 NewDesignator=C17
Change Component Designator: OldDesignator=C34 NewDesignator=C7
Change Component Designator: OldDesignator=C35 NewDesignator=C8
Change Component Designator: OldDesignator=D1 NewDesignator=D3
Change Component Designator: OldDesignator=D3 NewDesignator=D1
Change Component Designator: OldDesignator=R1 NewDesignator=R14
Change Component Designator: OldDesignator=R2 NewDesignator=R13
Change Component Designator: OldDesignator=R3 NewDesignator=R23
Change Component Designator: OldDesignator=R4 NewDesignator=R22
Change Component Designator: OldDesignator=R5 NewDesignator=R21
Change Component Designator: OldDesignator=R6 NewDesignator=R25_U_PassiveFilter5
Change Component Designator: OldDesignator=R7 NewDesignator=R24_U_PassiveFilter5
Change Component Designator: OldDesignator=R8 NewDesignator=R25_U_PassiveFilter1
Change Component Designator: OldDesignator=R9 NewDesignator=R24_U_PassiveFilter1
Change Component Designator: OldDesignator=R10 NewDesignator=R25_U_PassiveFilter3
Change Component Designator: OldDesignator=R11 NewDesignator=R24_U_PassiveFilter3
Change Component Designator: OldDesignator=R12 NewDesignator=R25_U_PassiveFilter6
Change Component Designator: OldDesignator=R13 NewDesignator=R24_U_PassiveFilter6
Change Component Designator: OldDesignator=R14 NewDesignator=R25_U_PassiveFilter2
Change Component Designator: OldDesignator=R15 NewDesignator=R24_U_PassiveFilter2
Change Component Designator: OldDesignator=R16 NewDesignator=R24_U_PassiveFilter8
